County,Predicted Turnout
"('wagoner', 'oklahoma')",0.4712314939434724
"('navajo', 'arizona')",0.3693783592880217
"('renville', 'north dakota')",0.3693783592880217
"('lewis', 'washington')",0.3595433775712303
"('winona', 'minnesota')",0.4432986943778311
"('montcalm', 'michigan')",0.3779019558039116
"('yadkin', 'north carolina')",0.3588113103565221
"('cook', 'minnesota')",0.44521722252773915
"('dade', 'missouri')",0.3955193192781565
"('rock island', 'illinois')",0.48998952626490494
"('orange', 'new york')",0.49658764367816094
"('bernalillo', 'new mexico')",0.4847761746207917
"('mulnomah', 'oregon')",0.3394391527342969
"('hardin', 'kentucky')",0.4602297841966885
"('suffolk', 'massachusetts')",0.41459705355276794
"('bucks', 'pennsylvania')",0.5452604758461591
"('otero', 'new mexico')",0.46962154626752795
"('jasper', 'missouri')",0.4724544426915767
"('cherokee', 'georgia')",0.30915174403461076
"('san diego', 'california')",0.4302304147465438
"('foster', 'north dakota')",0.3394391527342969
"('albemarle', 'virginia')",0.43840233885305535
"('nez perce', 'idaho')",0.5051885550526071
"('harnett', 'north carolina')",0.5668601432886808
"('conway', 'arkansas')",0.4361060013796275
"('poquoson', 'virginia')",0.47787621900694754
"('parker', 'texas')",0.4563947223486028
"('hopkins', 'texas')",0.4071976384514343
"('clinton', 'michigan')",0.5561115082201572
"('canyon', 'idaho')",0.40632905350579923
"('cuming', 'nebraska')",0.4302183330694722
"('coffee', 'alabama')",0.42859605769783343
"('collin', 'texas')",0.4287850249519408
"('pondera', 'montana')",0.43135528911822735
"('owen', 'indiana')",0.5151165061181984
"('sandusky', 'ohio')",0.49375561545372865
"('multnomah', 'oregon')",0.43421420704334246
"('washington', 'minnesota')",0.4205845907136089
"('greenwood', 'south carolina')",0.43088350815581533
"('boone', 'missouri')",0.38327076733524224
"('lehigh', 'pennsylvania')",0.3771232335588771
"('hillsdale', 'michigan')",0.4457506960737314
"('bertie', 'north carolina')",0.43502051983584133
"('thomas', 'nebraska')",0.40263507591393594
"('siskiyou', 'california')",0.6032803599865737
"('mecklenburg', 'virginia')",0.49591347330299024
