state,county,candidate,total votes
illinois,mason,Donald Trump,6766
illinois,massac,Donald Trump,6813
illinois,mcdonough,Donald Trump,12285
illinois,mchenry,Donald Trump,163879
illinois,mclean,Joe Biden,87002
illinois,menard,Donald Trump,6928
illinois,mercer,Donald Trump,8893
illinois,monroe,Donald Trump,21148
illinois,montgomery,Donald Trump,13727
illinois,morgan,Donald Trump,15309
illinois,moultrie,Donald Trump,6744
illinois,ogle,Donald Trump,26272
illinois,peoria,Joe Biden,83973
illinois,perry,Donald Trump,10053
illinois,piatt,Donald Trump,9822
illinois,pike,Donald Trump,7949
illinois,pope,Donald Trump,2175
illinois,pulaski,Donald Trump,2624
illinois,putnam,Donald Trump,3390
illinois,randolph,Donald Trump,14891
illinois,richland,Donald Trump,8063
illinois,rock island,Joe Biden,66758
illinois,saline,Donald Trump,11066
illinois,sangamon,Donald Trump,104752
illinois,schuyler,Donald Trump,3906
illinois,scott,Donald Trump,2737
illinois,shelby,Donald Trump,12097
illinois,st. clair,Joe Biden,128091
illinois,stark,Donald Trump,2883
illinois,stephenson,Donald Trump,22048
illinois,tazewell,Donald Trump,69052
illinois,union,Donald Trump,8886
illinois,vermilion,Donald Trump,31584
illinois,wabash,Donald Trump,5593
illinois,warren,Donald Trump,7909
illinois,washington,Donald Trump,7902
illinois,wayne,Donald Trump,8486
illinois,white,Donald Trump,7421
illinois,whiteside,Donald Trump,27375
illinois,will,Joe Biden,345105
illinois,williamson,Donald Trump,33653
illinois,winnebago,Joe Biden,127709
illinois,woodford,Donald Trump,21432
indiana,adams,Donald Trump,14209
indiana,allen,Donald Trump,169082
indiana,bartholomew,Donald Trump,36235
indiana,benton,Donald Trump,4114
indiana,blackford,Donald Trump,5350
indiana,boone,Donald Trump,38520
indiana,brown,Donald Trump,8981
indiana,carroll,Donald Trump,9495
indiana,cass,Donald Trump,15198
indiana,clark,Donald Trump,57869
indiana,clay,Donald Trump,12267
indiana,clinton,Donald Trump,12949
indiana,crawford,Donald Trump,4944
indiana,daviess,Donald Trump,11954
indiana,dearborn,Donald Trump,25383
indiana,decatur,Donald Trump,12287
indiana,dekalb,Donald Trump,19628
indiana,delaware,Donald Trump,48191
indiana,dubois,Donald Trump,21770
indiana,elkhart,Donald Trump,74387
indiana,fayette,Donald Trump,10136
indiana,floyd,Donald Trump,41802
indiana,fountain,Donald Trump,7986
indiana,franklin,Donald Trump,12000
indiana,fulton,Donald Trump,9147
indiana,gibson,Donald Trump,16161
indiana,grant,Donald Trump,27159
indiana,greene,Donald Trump,14784
indiana,hamilton,Donald Trump,193999
indiana,hancock,Donald Trump,42911
indiana,harrison,Donald Trump,20236
indiana,hendricks,Donald Trump,88505
indiana,henry,Donald Trump,21030
indiana,howard,Donald Trump,40630
indiana,huntington,Donald Trump,17829
indiana,jackson,Donald Trump,19238
indiana,jasper,Donald Trump,15475
indiana,jay,Donald Trump,8461
indiana,jefferson,Donald Trump,14697
indiana,jennings,Donald Trump,12251
indiana,johnson,Donald Trump,77618
indiana,knox,Donald Trump,16011
indiana,kosciusko,Donald Trump,35787
indiana,lagrange,Donald Trump,10633
indiana,lake,Joe Biden,219956
indiana,laporte,Donald Trump,49392
indiana,lawrence,Donald Trump,21025
indiana,madison,Donald Trump,51793
indiana,marion,Joe Biden,389619
indiana,marshall,Donald Trump,19927
indiana,martin,Donald Trump,5144
indiana,miami,Donald Trump,14473
indiana,monroe,Joe Biden,63151
indiana,montgomery,Donald Trump,17198
indiana,morgan,Donald Trump,36159
indiana,newton,Donald Trump,6591
indiana,noble,Donald Trump,19190
indiana,ohio,Donald Trump,3164
indiana,orange,Donald Trump,8832
indiana,owen,Donald Trump,9904
indiana,parke,Donald Trump,7013
indiana,perry,Donald Trump,8722
indiana,pike,Donald Trump,6220
indiana,porter,Donald Trump,86509
indiana,posey,Donald Trump,13236
indiana,pulaski,Donald Trump,5806
indiana,putnam,Donald Trump,16597
indiana,randolph,Donald Trump,11070
indiana,ripley,Donald Trump,14271
indiana,rush,Donald Trump,7932
indiana,scott,Donald Trump,10167
indiana,shelby,Donald Trump,19991
indiana,spencer,Donald Trump,10769
indiana,st. joseph,Joe Biden,115238
indiana,starke,Donald Trump,10290
indiana,steuben,Donald Trump,16162
indiana,sullivan,Donald Trump,8994
indiana,switzerland,Donald Trump,4154
indiana,tippecanoe,Joe Biden,71448
