state,county,candidate,party,candidate votes,total votes
arkansas,lincoln,Other,NA,119,3826
arkansas,little river,Hillary Clinton,democrat,1397,5227
arkansas,little river,Donald Trump,republican,3605,5227
arkansas,little river,Other,NA,225,5227
arkansas,logan,Hillary Clinton,democrat,1715,7921
arkansas,logan,Donald Trump,republican,5746,7921
arkansas,logan,Other,NA,460,7921
arkansas,lonoke,Hillary Clinton,democrat,5664,27100
arkansas,lonoke,Donald Trump,republican,19958,27100
arkansas,lonoke,Other,NA,1478,27100
arkansas,madison,Hillary Clinton,democrat,1588,6841
arkansas,madison,Donald Trump,republican,4928,6841
arkansas,madison,Other,NA,325,6841
arkansas,marion,Hillary Clinton,democrat,1434,7107
arkansas,marion,Donald Trump,republican,5336,7107
arkansas,marion,Other,NA,337,7107
arkansas,miller,Hillary Clinton,democrat,4273,16091
arkansas,miller,Donald Trump,republican,11294,16091
arkansas,miller,Other,NA,524,16091
arkansas,mississippi,Hillary Clinton,democrat,5670,13204
arkansas,mississippi,Donald Trump,republican,7061,13204
arkansas,mississippi,Other,NA,473,13204
arkansas,monroe,Hillary Clinton,democrat,1312,2884
arkansas,monroe,Donald Trump,republican,1489,2884
arkansas,monroe,Other,NA,83,2884
arkansas,montgomery,Hillary Clinton,democrat,748,3559
arkansas,montgomery,Donald Trump,republican,2643,3559
arkansas,montgomery,Other,NA,168,3559
arkansas,nevada,Hillary Clinton,democrat,1157,3246
arkansas,nevada,Donald Trump,republican,2000,3246
arkansas,nevada,Other,NA,89,3246
arkansas,newton,Hillary Clinton,democrat,699,3753
arkansas,newton,Donald Trump,republican,2875,3753
arkansas,newton,Other,NA,179,3753
arkansas,ouachita,Hillary Clinton,democrat,4321,9935
arkansas,ouachita,Donald Trump,republican,5351,9935
arkansas,ouachita,Other,NA,263,9935
arkansas,perry,Hillary Clinton,democrat,1049,4306
arkansas,perry,Donald Trump,republican,3008,4306
arkansas,perry,Other,NA,249,4306
arkansas,phillips,Hillary Clinton,democrat,4310,6953
arkansas,phillips,Donald Trump,republican,2446,6953
arkansas,phillips,Other,NA,197,6953
arkansas,pike,Hillary Clinton,democrat,685,3981
arkansas,pike,Donald Trump,republican,3150,3981
arkansas,pike,Other,NA,146,3981
arkansas,poinsett,Hillary Clinton,democrat,1880,7722
arkansas,poinsett,Donald Trump,republican,5502,7722
arkansas,poinsett,Other,NA,340,7722
arkansas,polk,Hillary Clinton,democrat,1212,8231
arkansas,polk,Donald Trump,republican,6618,8231
arkansas,polk,Other,NA,401,8231
arkansas,pope,Hillary Clinton,democrat,5000,22569
arkansas,pope,Donald Trump,republican,16256,22569
arkansas,pope,Other,NA,1313,22569
arkansas,prairie,Hillary Clinton,democrat,814,3444
arkansas,prairie,Donald Trump,republican,2505,3444
arkansas,prairie,Other,NA,125,3444
arkansas,pulaski,Hillary Clinton,democrat,89574,159776
arkansas,pulaski,Donald Trump,republican,61257,159776
arkansas,pulaski,Other,NA,8945,159776
arkansas,randolph,Hillary Clinton,democrat,1425,6379
arkansas,randolph,Donald Trump,republican,4509,6379
arkansas,randolph,Other,NA,445,6379
arkansas,st. francis,Hillary Clinton,democrat,4031,7430
arkansas,st. francis,Donald Trump,republican,3195,7430
arkansas,st. francis,Other,NA,204,7430
arkansas,saline,Hillary Clinton,democrat,13256,52100
arkansas,saline,Donald Trump,republican,35863,52100
arkansas,saline,Other,NA,2981,52100
arkansas,scott,Hillary Clinton,democrat,602,3510
arkansas,scott,Donald Trump,republican,2731,3510
arkansas,scott,Other,NA,177,3510
arkansas,searcy,Hillary Clinton,democrat,601,3728
arkansas,searcy,Donald Trump,republican,2955,3728
arkansas,searcy,Other,NA,172,3728
arkansas,sebastian,Hillary Clinton,democrat,12300,44637
arkansas,sebastian,Donald Trump,republican,29127,44637
arkansas,sebastian,Other,NA,3210,44637
arkansas,sevier,Hillary Clinton,democrat,1075,4562
arkansas,sevier,Donald Trump,republican,3282,4562
arkansas,sevier,Other,NA,205,4562
arkansas,sharp,Hillary Clinton,democrat,1472,7249
arkansas,sharp,Donald Trump,republican,5407,7249
arkansas,sharp,Other,NA,370,7249
arkansas,stone,Hillary Clinton,democrat,1203,5618
arkansas,stone,Donald Trump,republican,4113,5618
arkansas,stone,Other,NA,302,5618
arkansas,union,Hillary Clinton,democrat,5855,16894
arkansas,union,Donald Trump,republican,10456,16894
arkansas,union,Other,NA,583,16894
arkansas,van buren,Hillary Clinton,democrat,1549,7339
arkansas,van buren,Donald Trump,republican,5382,7339
arkansas,van buren,Other,NA,408,7339
arkansas,washington,Hillary Clinton,democrat,33366,81861
arkansas,washington,Donald Trump,republican,41476,81861
arkansas,washington,Other,NA,7019,81861
arkansas,white,Hillary Clinton,democrat,5170,27219
arkansas,white,Donald Trump,republican,21077,27219
arkansas,white,Other,NA,972,27219
arkansas,woodruff,Hillary Clinton,democrat,1118,2571
arkansas,woodruff,Donald Trump,republican,1347,2571
arkansas,woodruff,Other,NA,106,2571
arkansas,yell,Hillary Clinton,democrat,1480,6439
arkansas,yell,Donald Trump,republican,4608,6439
arkansas,yell,Other,NA,351,6439
california,alameda,Hillary Clinton,democrat,514842,654266
california,alameda,Donald Trump,republican,95922,654266
california,alameda,Other,NA,43502,654266
california,alpine,Hillary Clinton,democrat,334,602
california,alpine,Donald Trump,republican,217,602
california,alpine,Other,NA,51,602
california,amador,Hillary Clinton,democrat,6004,17734
california,amador,Donald Trump,republican,10485,17734
california,amador,Other,NA,1245,17734
california,butte,Hillary Clinton,democrat,41567,95564
california,butte,Donald Trump,republican,45144,95564
california,butte,Other,NA,8853,95564
california,calaveras,Hillary Clinton,democrat,7944,23136
california,calaveras,Donald Trump,republican,13511,23136
california,calaveras,Other,NA,1681,23136
california,colusa,Hillary Clinton,democrat,2661,6632
california,colusa,Donald Trump,republican,3551,6632
california,colusa,Other,NA,420,6632
california,contra costa,Hillary Clinton,democrat,319287,466175
california,contra costa,Donald Trump,republican,115956,466175
california,contra costa,Other,NA,30932,466175
california,del norte,Hillary Clinton,democrat,3485,9558
california,del norte,Donald Trump,republican,5134,9558
california,del norte,Other,NA,939,9558
california,el dorado,Hillary Clinton,democrat,36404,93591
california,el dorado,Donald Trump,republican,49247,93591
california,el dorado,Other,NA,7940,93591
california,fresno,Hillary Clinton,democrat,141341,282319
california,fresno,Donald Trump,republican,124049,282319
california,fresno,Other,NA,16929,282319
california,glenn,Hillary Clinton,democrat,3065,9470
california,glenn,Donald Trump,republican,5788,9470
california,glenn,Other,NA,617,9470
california,humboldt,Hillary Clinton,democrat,33200,59246
california,humboldt,Donald Trump,republican,18373,59246
california,humboldt,Other,NA,7673,59246
california,imperial,Hillary Clinton,democrat,32667,48091
california,imperial,Donald Trump,republican,12704,48091
california,imperial,Other,NA,2720,48091
california,inyo,Hillary Clinton,democrat,3155,8086
california,inyo,Donald Trump,republican,4248,8086
california,inyo,Other,NA,683,8086
california,kern,Hillary Clinton,democrat,98689,244163
california,kern,Donald Trump,republican,129584,244163
california,kern,Other,NA,15890,244163
california,kings,Hillary Clinton,democrat,13617,33915
california,kings,Donald Trump,republican,18093,33915
california,kings,Other,NA,2205,33915
california,lake,Hillary Clinton,democrat,11496,24496
california,lake,Donald Trump,republican,10599,24496
california,lake,Other,NA,2401,24496
california,lassen,Hillary Clinton,democrat,2224,10524
california,lassen,Donald Trump,republican,7574,10524
california,lassen,Other,NA,726,10524
california,los angeles,Hillary Clinton,democrat,2464364,3434308
california,los angeles,Donald Trump,republican,769743,3434308
california,los angeles,Other,NA,200201,3434308
