state,county,candidate,candidate votes,total votes
idaho,elmore,Hillary Clinton,1814,8522
idaho,franklin,Hillary Clinton,385,5499
idaho,fremont,Hillary Clinton,651,5715
idaho,gem,Hillary Clinton,1229,7954
idaho,gooding,Hillary Clinton,930,5191
idaho,idaho,Hillary Clinton,1196,8233
idaho,jefferson,Hillary Clinton,976,11475
idaho,jerome,Hillary Clinton,1329,6751
idaho,kootenai,Hillary Clinton,16264,66310
idaho,latah,Hillary Clinton,8093,18173
idaho,lemhi,Hillary Clinton,733,4096
idaho,lewis,Hillary Clinton,270,1590
idaho,lincoln,Hillary Clinton,360,1748
idaho,madison,Hillary Clinton,1201,15688
idaho,minidoka,Hillary Clinton,1167,6871
idaho,nez perce,Hillary Clinton,4828,17201
idaho,oneida,Hillary Clinton,184,2068
idaho,owyhee,Hillary Clinton,591,3925
idaho,payette,Hillary Clinton,1507,8704
idaho,power,Hillary Clinton,699,2758
idaho,shoshone,Hillary Clinton,1384,5120
idaho,teton,Hillary Clinton,2159,4976
idaho,twin falls,Hillary Clinton,6233,29874
idaho,valley,Hillary Clinton,1913,5349
idaho,washington,Hillary Clinton,776,4455
illinois,adams,Hillary Clinton,7676,31951
illinois,alexander,Hillary Clinton,1262,2846
illinois,bond,Hillary Clinton,2068,7530
illinois,boone,Hillary Clinton,8986,23001
illinois,brown,Hillary Clinton,476,2379
illinois,bureau,Hillary Clinton,6029,16571
illinois,calhoun,Hillary Clinton,739,2571
illinois,carroll,Hillary Clinton,2447,7445
illinois,cass,Hillary Clinton,1621,5124
illinois,champaign,Hillary Clinton,50137,91628
illinois,christian,Hillary Clinton,3992,15459
illinois,clark,Hillary Clinton,1877,7928
illinois,clay,Hillary Clinton,1020,6350
illinois,clinton,Hillary Clinton,3945,17419
illinois,coles,Hillary Clinton,7309,21863
illinois,cook,Hillary Clinton,1611946,2158615
illinois,crawford,Hillary Clinton,1992,8728
illinois,cumberland,Hillary Clinton,1031,5567
illinois,dekalb,Hillary Clinton,20466,43600
illinois,de witt,Hillary Clinton,1910,7543
illinois,douglas,Hillary Clinton,1949,8169
illinois,dupage,Hillary Clinton,228622,428769
illinois,edgar,Hillary Clinton,1793,7873
illinois,edwards,Hillary Clinton,434,3347
illinois,effingham,Hillary Clinton,3083,17609
illinois,fayette,Hillary Clinton,1819,9585
illinois,ford,Hillary Clinton,1414,6396
illinois,franklin,Hillary Clinton,4727,18711
illinois,fulton,Hillary Clinton,6133,15797
illinois,gallatin,Hillary Clinton,657,2707
illinois,greene,Hillary Clinton,1205,5585
illinois,grundy,Hillary Clinton,8065,23237
illinois,hamilton,Hillary Clinton,802,4166
illinois,hancock,Hillary Clinton,2139,9121
illinois,hardin,Hillary Clinton,420,2148
illinois,henderson,Hillary Clinton,1155,3518
illinois,henry,Hillary Clinton,8871,24643
illinois,iroquois,Hillary Clinton,2504,13064
illinois,jackson,Hillary Clinton,11634,24617
illinois,jasper,Hillary Clinton,924,5136
illinois,jefferson,Hillary Clinton,4425,16999
illinois,jersey,Hillary Clinton,2679,10991
illinois,jo daviess,Hillary Clinton,4462,11334
illinois,johnson,Hillary Clinton,1142,6089
illinois,kane,Hillary Clinton,103665,199314
illinois,kankakee,Hillary Clinton,18971,47305
